follow_time,account_nb_followers,account_nb_posts,hashtag,first_pic_liked,days_before_unfollowing,unfollow_time,account_username
2020-11-18 16:30:50.915480,2008,399,followeraktif,0,3,2020-11-19 00:34:15.250687,slavkamikusova
2020-11-18 16:31:03.691643,6430,214,car,0,1,2020-11-19 00:34:15.250687,bmw.c1ty
2020-11-18 16:31:06.820040,1411,2048,car,1,2,2020-11-19 00:34:15.250687,maserati_motorsport_
2020-11-18 16:31:17.693799,503,1548,car,1,2,2020-11-19 00:34:15.250687,audiquattrolove
2020-11-18 16:31:20.905103,165,2906,car,1,4,2020-11-19 00:34:15.250687,audi.page
2020-11-18 16:31:32.457136,3019,891,foodie,1,4,2020-11-19 00:34:15.250687,thefoodiehat
2020-11-18 16:31:35.997252,189,1133,foodie,1,2,2020-11-19 00:34:15.250687,aya_m08
2020-11-18 16:31:39.676552,999,1938,foodie,1,4,2020-11-19 00:34:15.250687,tinaormuz
2020-11-18 16:31:43.115280,254,1378,foodie,1,3,2020-11-19 00:34:15.250687,sailor_bailey
2020-11-18 22:34:48.064486,1136,30,followeraktif,0,4,2020-11-19 00:34:15.250687,mutiahhsnh_
2020-11-18 22:35:00.637219,1776,9,followme,1,4,2020-11-19 00:34:15.250687,grsnake_by
2020-11-18 23:36:28.191418,181,16,l4l,0,1,2020-11-19 00:34:15.250687,juuules__x
2020-11-18 23:46:52.610900,470,85,followers,0,2,2020-11-19 00:34:15.250687,nicolibbe
2020-11-18 23:47:04.364150,5272,208,car,0,4,2020-11-19 00:34:15.250687,car._.exotics
2020-11-18 23:47:07.063545,2410,1140,car,0,4,2020-11-19 00:34:15.250687,audi_rs_club_
2020-11-18 23:47:26.161933,68,3896,car,0,2,2020-11-19 00:34:15.250687,mustangsaddiction
2020-11-18 23:47:30.307195,1393,951,car,0,3,2020-11-19 00:34:15.250687,bastien.g_photography
2020-11-18 23:47:39.750372,3380,757,beach,1,2,2020-11-19 00:34:15.250687,reanne_brown2
2020-11-18 23:47:42.636629,1045,51,beach,0,1,2020-11-19 00:34:15.250687,lu_pedron
2020-11-18 23:47:45.863541,2369,325,beach,0,2,2020-11-19 00:34:15.250687,gabicardinot
