follow_time_by_target,unfollow_time_by_target,user
2020-01-06 22:52:09.179179,2020-01-19 23:52:04.611357,yourbackonmyway
2020-01-06 22:52:09.179179,,cortomaltese30
2020-01-06 22:52:09.179179,2020-01-08 00:11:13.855261,nina.pza
2020-01-06 22:52:09.179179,2020-02-09 23:29:33.203894,r.i.ped_memes
2020-01-06 22:52:09.179179,2020-01-11 19:00:19.254224,healthy.clothing_
2020-01-06 22:52:09.179179,,lukaselich
2020-01-06 22:52:09.179179,,flore_.grd
2020-01-06 22:52:09.179179,2020-02-09 23:29:33.203894,manahshantiresort
2020-01-06 22:52:09.179179,,deep_duvk
2020-01-06 22:52:09.179179,2020-01-08 00:11:13.855261,deniz_90q
2020-01-06 22:52:09.179179,,agathe.dortu
2020-01-06 22:52:09.179179,,yausteph
2020-01-06 22:52:09.179179,,bnzyassine
2020-01-06 22:52:09.179179,,alinaelenastanciu
2020-01-06 22:52:09.179179,,victoriabsq
2020-01-06 22:52:09.179179,,tothbencef
2020-01-06 22:52:09.179179,,adamantia.psarologou
2020-01-06 22:52:09.179179,,guillaumegavoille
2020-01-06 22:52:09.179179,,lauragouzy
2020-01-06 22:52:09.179179,,sandyrocha
2020-01-06 22:52:09.179179,,ramirez_remy
2020-01-06 22:52:09.179179,,malek.mgaidi
2020-01-06 22:52:09.179179,,misilviah
2020-01-06 22:52:09.179179,,julie_petta
2020-01-06 22:52:09.179179,,apollinedegivry
2020-01-06 22:52:09.179179,,maria_giulia_cicognani
2020-01-06 22:52:09.179179,,marguelar
2020-01-06 22:52:09.179179,,alice_thms
2020-01-06 22:52:09.179179,,galgaabri
2020-01-06 22:52:09.179179,,louisdedinechin
2020-01-06 22:52:09.179179,,gaetan_marchal77
2020-01-06 22:52:09.179179,,boroda.vitaliya
2020-01-06 22:52:09.179179,,dianacardegna
2020-01-06 22:52:09.179179,,castexjimmy
2020-01-06 22:52:09.179179,,taka_kode
2020-01-06 22:52:09.179179,,monia_chouaibi
2020-01-06 22:52:09.179179,,nansooou
2020-01-06 22:52:09.179179,,dzorak
2020-01-06 22:52:09.179179,,sixtduss
2020-01-06 22:52:09.179179,,martha_topeteq
2020-01-06 22:52:09.179179,,celiaantier
2020-01-06 22:52:09.179179,,vishtree
2020-01-06 22:52:09.179179,,gaelletremeau
2020-01-06 22:52:09.179179,,baarthbdt
2020-01-06 22:52:09.179179,,paproffit
2020-01-06 22:52:09.179179,,marinepaillere
2020-01-06 22:52:09.179179,,lorellayfr
2020-01-06 22:52:09.179179,,ismail.mrtd
2020-01-06 22:52:09.179179,,antoine_necklace
2020-01-06 22:52:09.179179,,vian_ney88
